"","word","n"
"4709","heroes",5
"4710","hes",5
"4711","hillview",5
"4712","hippie",5
"4713","hitting",5
"4714","hm",5
"4715","hmmm",5
"4716","hollywood",5
"4717","honesty",5
"4718","hook",5
"4719","horse",5
"4720","hosts",5
"4721","houses",5
"4722","houston",5
"4723","howard",5
"4724","hrc",5
"4725","hucclecote",5
"4726","huckabees",5
"4727","huckster",5
"4728","humility",5
"4729","hv",5
"4730","hymns",5
"4731","ice",5
"4732","idaho",5
"4733","ideal",5
"4734","idiotic",5
"4735","igiterane",5
"4736","illness",5
"4737","immorality",5
"4738","imperialism",5
"4739","imposed",5
"4740","inevitable",5
"4741","infiltrated",5
"4742","inherently",5
"4743","innate",5
"4744","innovation",5
"4745","insist",5
"4746","instance",5
"4747","instinct",5
"4748","intellectualist",5
"4749","intent",5
"4750","interfaith",5
"4751","intervention",5
"4752","investigate",5
"4753","ismailiya",5
"4754","jc",5
"4755","jersey",5
"4756","ji",5
"4757","joint",5
"4758","joker",5
"4759","journalist",5
"4760","jubilee",5
"4761","junk",5
"4762","justifies",5
"4763","jw",5
"4764","kareem",5
"4765","karen",5
"4766","karma",5
"4767","kczn_radio",5
"4768","kenya",5
"4769","killers",5
"4770","kindle",5
"4771","ko",5
"4772","kratzer",5
"4773","kushner",5
"4774","lacks",5
"4775","laughing",5
"4776","launched",5
"4777","lazarus",5
"4778","lc",5
"4779","lectures",5
"4780","license",5
"4781","limit",5
"4782","limits",5
"4783","literary",5
"4784","loathe",5
"4785","lovers",5
"4786","lucky",5
"4787","lunatics",5
"4788","mag",5
"4789","management",5
"4790","manager",5
"4791","marcelo",5
"4792","matt's",5
"4793","md",5
"4794","meaningless",5
"4795","med",5
"4796","meddling",5
"4797","melania",5
"4798","melt",5
"4799","memoir",5
"4800","messed",5
"4801","messianic",5
"4802","mga",5
"4803","michelle",5
"4804","milk",5
"4805","mindless",5
"4806","mirror",5
"4807","missiological",5
"4808","mixing",5
"4809","mob",5
"4810","modi",5
"4811","mohan",5
"4812","mommy",5
"4813","moms",5
"4814","montt",5
"4815","moonlight",5
"4816","moot",5
"4817","mothers",5
"4818","motivation",5
"4819","mum",5
"4820","mutual",5
"4821","mutually",5
"4822","mystic",5
"4823","nails",5
"4824","namibia",5
"4825","narratives",5
"4826","ngo",5
"4827","nicely",5
"4828","norms",5
"4829","npr",5
"4830","nutjobs",5
"4831","nw",5
"4832","o'donnell",5
"4833","oath",5
"4834","obey",5
"4835","obnoxious",5
"4836","observe",5
"4837","obstructed",5
"4838","occult",5
"4839","ocrom",5
"4840","offering",5
"4841","olds",5
"4842","operate",5
"4843","opp",5
"4844","opposes",5
"4845","oppressive",5
"4846","opted",5
"4847","optimistic",5
"4848","oscar",5
"4849","overly",5
"4850","paint",5
"4851","palestinian",5
"4852","palm",5
"4853","pals",5
"4854","panel",5
"4855","paranoia",5
"4856","parcel",5
"4857","parlors",5
"4858","partly",5
"4859","passion",5
"4860","pattern",5
"4861","peddling",5
"4862","peed",5
"4863","perceived",5
"4864","perceptions",5
"4865","perpetual",5
"4866","perry",5
"4867","pervasive",5
"4868","pervert",5
"4869","pharisee",5
"4870","philippians",5
"4871","philosophical",5
"4872","physical",5
"4873","pictures",5
"4874","pillars",5
"4875","pin",5
"4876","pinnock",5
"4877","pipe",5
"4878","pitch",5
"4879","pk",5
"4880","pleasure",5
"4881","plot",5
"4882","poison",5
"4883","polit",5
"4884","polls",5
"4885","poorly",5
"4886","por",5
"4887","portray",5
"4888","pose",5
"4889","practical",5
"4890","precisely",5
"4891","prey",5
"4892","princeton",5
"4893","prior",5
"4894","priority",5
"4895","procedures",5
"4896","produce",5
"4897","produces",5
"4898","profess",5
"4899","prolife",5
"4900","proposal",5
"4901","propose",5
"4902","propping",5
"4903","prospect",5
"4904","provocative",5
"4905","ps",5
"4906","psa",5
"4907","pu",5
"4908","puke",5
"4909","pulls",5
"4910","punishment",5
"4911","pursue",5
"4912","quality",5
"4913","r's",5
"4914","rallied",5
"4915","ram",5
"4916","range",5
"4917","raped",5
"4918","rapist",5
"4919","rapper",5
"4920","rates",5
"4921","recognise",5
"4922","recommendations",5
"4923","reducing",5
"4924","reed",5
"4925","refresh",5
"4926","region",5
"4927","rejecting",5
"4928","relation",5
"4929","relations",5
"4930","relative",5
"4931","religiosity",5
"4932","renowned",5
"4933","repeatedly",5
"4934","reporting",5
"4935","repugnant",5
"4936","requirement",5
"4937","rescue",5
"4938","respectfully",5
"4939","restore",5
"4940","retards",5
"4941","returns",5
"4942","reward",5
"4943","rigid",5
"4944","rising",5
"4945","rolling",5
"4946","romance",5
"4947","rotten",5
"4948","royal",5
"4949","rude",5
"4950","ruining",5
"4951","ruled",5
"4952","ruth",5
"4953","ruthless",5
"4954","sabbath",5
"4955","sacred",5
"4956","safer",5
"4957","saga",5
"4958","saudi",5
"4959","sayin",5
"4960","scandalous",5
"4961","schooling",5
"4962","scotland",5
"4963","scots",5
"4964","searching",5
"4965","seated",5
"4966","sec",5
"4967","sentiments",5
"4968","serial",5
"4969","ses",5
"4970","session",5
"4971","shackle",5
"4972","shamed",5
"4973","shameful",5
"4974","shaming",5
"4975","shed",5
"4976","shirts",5
"4977","shook",5
"4978","shore",5
"4979","should've",5
"4980","shoulder",5
"4981","shoving",5
"4982","sickens",5
"4983","sincerely",5
"4984","sinister",5
"4985","skipped",5
"4986","slightest",5
"4987","slightly",5
"4988","slowly",5
"4989","smoke",5
"4990","smoking",5
"4991","soccer",5
"4992","socialists",5
"4993","sociopath",5
"4994","solas",5
"4995","sorta",5
"4996","spawn",5
"4997","spectrum",5
"4998","speed",5
"4999","spirited",5
"5000","spite",5
"5001","springs",5
"5002","sr",5
"5003","staple",5
"5004","starr",5
"5005","stars",5
"5006","steam",5
"5007","steven",5
"5008","sticker",5
"5009","stir",5
"5010","stoke",5
"5011","stopping",5
"5012","strike",5
"5013","stronger",5
"5014","struck",5
"5015","submit",5
"5016","substitutionary",5
"5017","subtle",5
"5018","succumbed",5
"5019","sudden",5
"5020","sunday's",5
"5021","surrender",5
"5022","surrounding",5
"5023","surveys",5
"5024","sweden",5
"5025","tape",5
"5026","targeting",5
"5027","taxed",5
"5028","taxpayer",5
"5029","taylor",5
"5030","teams",5
"5031","tears",5
"5032","technically",5
"5033","techniques",5
"5034","teds",5
"5035","teeth",5
"5036","temperature",5
"5037","terrific",5
"5038","texts",5
"5039","that'll",5
"5040","thee",5
"5041","thesis",5
"5042","theyre",5
"5043","thi",5
"5044","threatens",5
"5045","throats",5
"5046","thrown",5
"5047","thumpers",5
"5048","tm",5
"5049","toast",5
"5050","tolerant",5
"5051","ton",5
"5052","touted",5
"5053","tower",5
"5054","tra",5
"5055","trad",5
"5056","tragedy",5
"5057","trail",5
"5058","translation",5
"5059","tribe",5
"5060","triggered",5
"5061","tripe",5
"5062","trips",5
"5063","trumpcare",5
"5064","trumper",5
"5065","trumpsters",5
"5066","turds",5
"5067","tweeting",5
"5068","twin",5
"5069","umbrella",5
"5070","unchristian",5
"5071","unexpected",5
"5072","unhealthy",5
"5073","uni",5
"5074","unite",5
"5075","universe",5
"5076","unreal",5
"5077","veritas",5
"5078","versions",5
"5079","vets",5
"5080","vigorous",5
"5081","virginia",5
"5082","vocal",5
"5083","vultures",5
"5084","wack",5
"5085","walter",5
"5086","wapo",5
"5087","warrants",5
"5088","wash",5
"5089","weakness",5
"5090","weasel",5
"5091","weirdos",5
"5092","westminster",5
"5093","whores",5
"5094","wider",5
"5095","widespread",5
"5096","williams",5
"5097","willingness",5
"5098","winter",5
"5099","wipe",5
"5100","wire",5
"5101","withdraw",5
"5102","wnd",5
"5103","wolves",5
"5104","womens",5
"5105","wont",5
"5106","worshipers",5
"5107","wrapped",5
"5108","ye",5
"5109","ysr",5
"5110","zijn",5
"5111","'a",4
"5112","'christians",4
"5113","'extremely",4
"5114","'leaders",4
"5115","'religious",4
"5116","00aa",4
"5117","00b5",4
"5118","044c",4
"5119","05d3",4
"5120","05ea",4
"5121","092e",4
"5122","094b",4
"5123","0e19",4
"5124","0e22",4
"5125","0e31",4
"5126","12f1",4
"5127","12th",4
"5128","133d",4
"5129","134d",4
"5130","250th",4
"5131","261d",4
"5132","270c",4
"5133","304d",4
"5134","30ab",4
"5135","30c4",4
"5136","3x",4
"5137","45pm",4
"5138","4e3a",4
"5139","4ed6",4
"5140","548c",4
"5141","5e74",4
"5142","5th",4
"5143","673a",4
"5144","80's",4
"5145","969b",4
"5146","ab",4
"5147","abandon",4
"5148","abbey",4
"5149","abbott",4
"5150","abhorrent",4
"5151","abolitionist",4
"5152","abraham",4
"5153","abroad",4
"5154","absorbed",4
"5155","abuser",4
"5156","abusers",4
"5157","accidentally",4
"5158","accommodate",4
"5159","acovenantorderofevangelicalpresbyterians",4
"5160","addicted",4
"5161","adding",4
"5162","additional",4
"5163","addressing",4
"5164","adherence",4
"5165","adherents",4
"5166","administrator",4
"5167","adolescence",4
"5168","adore",4
"5169","adventists",4
"5170","adventures",4
"5171","advocates",4
"5172","advocating",4
"5173","aesthetic",4
"5174","affirming",4
"5175","afford",4
"5176","afp",4
"5177","agai",4
"5178","agent",4
"5179","aim",4
"5180","airport",4
"5181","align",4
"5182","alignment",4
"5183","alike",4
"5184","alleged",4
"5185","allegedly",4
"5186","alliance's",4
"5187","alot",4
"5188","alter",4
"5189","alum",4
"5190","ambiguity",4
"5191","amec",4
"5192","amer",4
"5193","americ",4
"5194","ammanuel",4
"5195","amnesia",4
"5196","anachronistic",4
"5197","analogy",4
"5198","ancestors",4
"5199","anchor",4
"5200","andrea",4
"5201","andy",4
"5202","angels",4
"5203","angle",4
"5204","anglicanism",4
"5205","announcement",4
"5206","aol",4
"5207","apostacy",4
"5208","appalling",4
"5209","appeals",4
"5210","appease",4
"5211","apple",4
"5212","applying",4
"5213","appreciation",4
"5214","approached",4
"5215","appropriating",4
"5216","arabs",4
"5217","archbishop",4
"5218","archie",4
"5219","arent",4
"5220","articulate",4
"5221","articulated",4
"5222","artificial",4
"5223","artists",4
"5224","assaulted",4
"5225","assembly",4
"5226","asses",4
"5227","assistant",4
"5228","assoc",4
"5229","assure",4
"5230","astray",4
"5231","athletes",4
"5232","atlanta",4
"5233","audacity",4
"5234","audiences",4
"5235","august",4
"5236","authentic",4
"5237","avenue",4
"5238","awe",4
"5239","bachmann",4
"5240","backers",4
"5241","balance",4
"5242","bang",4
"5243","bankruptcy",4
"5244","bans",4
"5245","barack",4
"5246","bash",4
"5247","bass",4
"5248","bastards",4
"5249","beal",4
"5250","bears",4
"5251","bec",4
"5252","beck",4
"5253","begging",4
"5254","behaving",4
"5255","behold",4
"5256","belonged",4
"5257","bernie",4
"5258","betrayal",4
"5259","bibi",4
"5260","bisexual",4
"5261","blaming",4
"5262","blasphemous",4
"5263","blasphemy",4
"5264","blast",4
"5265","blk",4
"5266","boat",4
"5267","boldness",4
"5268","bookstore",4
"5269","boomer",4
"5270","borderline",4
"5271","boston",4
"5272","bounds",4
"5273","boxes",4
"5274","brag",4
"5275","brainwash",4
"5276","branded",4
"5277","branhamist",4
"5278","bravo",4
"5279","brazil's",4
"5280","breakthrough",4
"5281","brigade",4
"5282","bright",4
"5283","broadcast",4
"5284","broadcasting",4
"5285","brunch",4
"5286","burka",4
"5287","butt",4
"5288","cakes",4
"5289","camarao",4
"5290","camel",4
"5291","campolo",4
"5292","capable",4
"5293","capacity",4
"5294","capital's",4
"5295","capitalism",4
"5296","captured",4
"5297","cardinal",4
"5298","cards",4
"5299","carpet",4
"5300","categories",4
"5301","catholicity",4
"5302","catholicos",4
"5303","cbi",4
"5304","centering",4
"5305","centrist",4
"5306","cents",4
"5307","ceo",4
"5308","chair",4
"5309","chances",4
"5310","channels",4
"5311","charlie",4
"5312","cheek",4
"5313","cheering",4
"5314","chicken",4
"5315","children's",4
"5316","chile",4
"5317","choirs",4
"5318","christi",4
"5319","christology",4
"5320","chuck",4
"5321","cia",4
"5322","circuits",4
"5323","cities",4
"5324","citing",4
"5325","citizenship",4
"5326","civilization",4
"5327","claptrap",4
"5328","clash",4
"5329","classical",4
"5330","classmates",4
"5331","cleansing",4
"5332","clothes",4
"5333","cm",4
"5334","coach",4
"5335","cognition",4
"5336","cognitive",4
"5337","coincidence",4
"5338","collar",4
"5339","combine",4
"5340","complaining",4
"5341","complicated",4
"5342","compliment",4
"5343","component",4
"5344","compromised",4
"5345","conceived",4
"5346","conclude",4
"5347","condemned",4
"5348","congratulations",4
"5349","consecrated",4
"5350","constituency",4
"5351","construction",4
"5352","contemplating",4
"5353","contemplative",4
"5354","contrary",4
"5355","convenience",4
"5356","cooper",4
"5357","cop",4
"5358","cornerstone",4
"5359","correctly",4
"5360","correctness",4
"5361","cotton",4
"5362","counseling",4
"5363","counter",4
"5364","countless",4
"5365","covering",4
"5366","coz",4
"5367","creatives",4
"5368","credulity",4
"5369","creed",4
"5370","creeping",4
"5371","creeps",4
"5372","criminal",4
"5373","criticized",4
"5374","criticizes",4
"5375","critiquing",4
"5376","crock",4
"5377","crosse",4
"5378","cruelty",4
"5379","crystal",4
"5380","cucked",4
"5381","culturally",4
"5382","cyateguwe",4
"5383","da",4
"5384","dangers",4
"5385","davies",4
"5386","davis",4
"5387","dawson",4
"5388","dealt",4
"5389","declares",4
"5390","decreasing",4
"5391","defender",4
"5392","defined",4
"5393","degrees",4
"5394","delta",4
"5395","demographics",4
"5396","demography",4
"5397","denier",4
"5398","deniers",4
"5399","denies",4
"5400","denny",4
"5401","departure",4
"5402","deported",4
"5403","depravity",4
"5404","detail",4
"5405","detailed",4
"5406","develop",4
"5407","developed",4
"5408","developing",4
"5409","deviant",4
"5410","devotion",4
"5411","dharma",4
"5412","dietrich",4
"5413","digging",4
"5414","digital",4
"5415","directors",4
"5416","dirt",4
"5417","disaffected",4
"5418","disastrous",4
"5419","disbelieved",4
"5420","disconnect",4
"5421","discouraged",4
"5422","discourse",4
"5423","discovery",4
"5424","discriminatory",4
"5425","discussions",4
"5426","disgust",4
"5427","dismissing",4
"5428","disney's",4
"5429","dispatch",4
"5430","dispute",4
"5431","disregard",4
"5432","distinct",4
"5433","distract",4
"5434","divorcee",4
"5435","dixiepub",4
"5436","doctors",4
"5437","doctrinal",4
"5438","document",4
"5439","documentaries",4
"5440","dominant",4
"5441","dominate",4
"5442","dominion",4
"5443","donors",4
"5444","dreamed",4
"5445","drove",4
"5446","dts",4
"5447","duggar",4
"5448","dumbing",4
"5449","dutch",4
"5450","dvd",4
"5451","dylan",4
"5452","earn",4
"5453","earned",4
"5454","earthly",4
"5455","ebay",4
"5456","edge",4
"5457","edited",4
"5458","educational",4
"5459","efca",4
"5460","effects",4
"5461","egal",4
"5462","eggs",4
"5463","eh",4
"5464","electing",4
"5465","elevator",4
"5466","elites",4
"5467","elitism",4
"5468","emails",4
"5469","embodies",4
"5470","emoting",4
"5471","encounter",4
"5472","endtime",4
"5473","enforced",4
"5474","engine",4
"5475","enormous",4
"5476","enthusiastically",4
"5477","epa",4
"5478","errors",4
"5479","eschatology",4
"5480","esonanjo",4
"5481","espouse",4
"5482","essentials",4
"5483","establish",4
"5484","eternal",4
"5485","ethic",4
"5486","ethical",4
"5487","euphemism",4
"5488","evangelists",4
"5489","evolved",4
"5490","examination",4
"5491","exciting",4
"5492","exorcism",4
"5493","exp",4
"5494","expelled",4
"5495","experiencing",4
"5496","expertise",4
"5497","exploiting",4
"5498","explores",4
"5499","explosion",4
"5500","exponentially",4
"5501","exposing",4
"5502","fade",4
"5503","faithfully",4
"5504","falwell's",4
"5505","famine",4
"5506","fare",4
"5507","farmer's",4
"5508","farther",4
"5509","favourite",4
"5510","fbi",4
"5511","fcra",4
"5512","felton",4
"5513","females",4
"5514","fiec",4
"5515","filings",4
"5516","fin",4
"5517","findings",4
"5518","finest",4
"5519","finnish",4
"5520","firsthand",4
"5521","flash",4
"5522","flocking",4
"5523","flocks",4
"5524","flood",4
"5525","floor",4
"5526","foot",4
"5527","forbid",4
"5528","ford",4
"5529","forty",4
"5530","fossil",4
"5531","fountain",4
"5532","framework",4
"5533","frankly",4
"5534","frequently",4
"5535","fried",4
"5536","friendships",4
"5537","frustration",4
"5538","ft",4
"5539","ftr",4
"5540","fuckery",4
"5541","garland",4
"5542","garner",4
"5543","gasp",4
"5544","gates",4
"5545","gd",4
"5546","generalizations",4
"5547","generational",4
"5548","generations",4
"5549","generosity",4
"5550","generous",4
"5551","genitals",4
"5552","genius",4
"5553","gharwapsi",4
"5554","girlfriend",4
"5555","glaring",4
"5556","glass",4
"5557","globalism",4
"5558","globe",4
"5559","goddess",4
"5560","gosh",4
"5561","govern",4
"5562","grads",4
"5563","graduate",4
"5564","greatly",4
"5565","gregorio",4
"5566","grey",4
"5567","grossly",4
"5568","grows",4
"5569","guaranteed",4
"5570","guise",4
"5571","guitar",4
"5572","gw",4
"5573","gym",4
"5574","hahaha",4
"5575","haigazian",4
"5576","hamilton",4
"5577","hangs",4
"5578","happily",4
"5579","hasidic",4
"5580","hasn",4
"5581","hastert",4
"5582","hc",4
"5583","helm",4
"5584","heresiarch",4
"5585","het",4
"5586","heteronormative",4
"5587","hidden",4
"5588","hillbillies",4
"5589","hillbilly",4
"5590","hint",4
"5591","hipster",4
"5592","hire",4
"5593","historians",4
"5594","histories",4
"5595","hobby",4
"5596","homeschool",4
"5597","homeschooling",4
"5598","homophobe",4
"5599","honey",4
"5600","hopeless",4
"5601","hour",4
"5602","huckabee's",4
"5603","humble",4
"5604","huntington",4
"5605","husband's",4
"5606","hymn",4
"5607","hysterical",4
"5608","ibrahim",4
"5609","iceberg",4
"5610","identical",4
"5611","ifeanyi",4
"5612","il",4
"5613","imho",4
"5614","immanuel",4
"5615","immediately",4
"5616","immersed",4
"5617","imp",4
"5618","implicit",4
"5619","imply",4
"5620","impression",4
"5621","improvement",4
"5622","in2",4
"5623","incl",4
"5624","inclusivists",4
"5625","inconvenient",4
"5626","ind",4
"5627","independence",4
"5628","indicator",4
"5629","infidelity",4
"5630","inflammatory",4
"5631","infuriating",4
"5632","injustice",4
"5633","innocents",4
"5634","inroads",4
"5635","insecure",4
"5636","institutional",4
"5637","instructs",4
"5638","insulting",4
"5639","int",4
"5640","intego",4
"5641","intensely",4
"5642","intentional",4
"5643","intoxicated",4
"5644","inviting",4
"5645","involves",4
"5646","invulnerability",4
"5647","iranians",4
"5648","iron",4
"5649","ish",4
"5650","italy",4
"5651","izeze",4
"5652","jam",4
"5653","janeiro's",4
"5654","japan",4
"5655","jesuit",4
"5656","jihadis",4
"5657","judgemental",4
"5658","june",4
"5659","jus",4
"5660","katharine",4
"5661","keen",4
"5662","keepers",4
"5663","keller's",4
"5664","kentucky",4
"5665","kim",4
"5666","knees",4
"5667","knock",4
"5668","knoxville",4
"5669","kristo",4
"5670","labour",4
"5671","laity",4
"5672","landmark",4
"5673","larry",4
"5674","larson",4
"5675","lawmakers",4
"5676","laying",4
"5677","lays",4
"5678","lcms",4
"5679","leanings",4
"5680","lebanese",4
"5681","lefty",4
"5682","legalism",4
"5683","legis",4
"5684","legislate",4
"5685","legislating",4
"5686","legs",4
"5687","leverage",4
"5688","lgbti",4
"5689","libertarians",4
"5690","lindsey",4
"5691","lining",4
"5692","literalists",4
"5693","liz",4
"5694","lo",4
"5695","loaded",4
"5696","located",4
"5697","lock",4
"5698","loftiest",4
"5699","logo",4
"5700","logos",4
"5701","lokal",4
"5702","loop",4
"5703","loophole",4
"5704","loosely",4
"5705","los",4
"5706","loses",4
"5707","lp",4
"5708","lunacy",4
"5709","macarthur",4
"5710","makers",4
"5711","mama",4
"5712","manage",4
"5713","manifest",4
"5714","manipulated",4
"5715","mankind",4
"5716","mapping",4
"5717","marching",4
"5718","marion",4
"5719","marital",4
"5720","marketed",4
"5721","masculine",4
"5722","mask",4
"5723","masse",4
"5724","math",4
"5725","matthew's",4
"5726","mauban",4
"5727","mccain",4
"5728","mcconnell",4
"5729","meal",4
"5730","mediate",4
"5731","membership",4
"5732","memes",4
"5733","memo",4
"5734","memories",4
"5735","mengge",4
"5736","mentality",4
"5737","mercedes",4
"5738","merry",4
"5739","mesa",4
"5740","miami",4
"5741","mic",4
"5742","mighty",4
"5743","minnesota",4
"5744","misrepresented",4
"5745","mistakes",4
"5746","mk",4
"5747","molester",4
"5748","mongers",4
"5749","monopoly",4
"5750","monthly",4
"5751","monumental",4
"5752","mood",4
"5753","mosul",4
"5754","mother's",4
"5755","motivates",4
"5756","motives",4
"5757","mouw",4
"5758","mt",4
"5759","muri",4
"5760","mystery",4
"5761","mysticism",4
"5762","nae",4
"5763","naga",4
"5764","nashville",4
"5765","nationists",4
"5766","neighborhood",4
"5767","nerd",4
"5768","newly",4
"5769","newsmax",4
"5770","niger",4
"5771","niwe",4
"5772","nj",4
"5773","nod",4
"5774","noll's",4
"5775","nonetheless",4
"5776","nose",4
"5777","november",4
"5778","np",4
"5779","nuanced",4
"5780","nutshell",4
"5781","nutter",4
"5782","nzira",4
"5783","occasionally",4
"5784","offend",4
"5785","officers",4
"5786","oneself",4
"5787","ongoing",4
"5788","oops",4
"5789","operating",4
"5790","operations",4
"5791","orlando",4
"5792","osinbajo",4
"5793","otoh",4
"5794","ousted",4
"5795","outage",4
"5796","outfit",4
"5797","outlined",4
"5798","ow",4
"5799","pac",4
"5800","pagans",4
"5801","pages",4
"5802","pains",4
"5803","painted",4
"5804","painting",4
"5805","pakistan",4
"5806","palaces",4
"5807","pamphlet",4
"5808","pamphlets",4
"5809","pan",4
"5810","panic",4
"5811","par",4
"5812","para",4
"5813","parable",4
"5814","parallels",4
"5815","paranoid",4
"5816","pardon",4
"5817","parody",4
"5818","participate",4
"5819","passionate",4
"5820","paths",4
"5821","patrick's",4
"5822","patriotism",4
"5823","pca",4
"5824","pcusa",4
"5825","pelagianism",4
"5826","penal",4
"5827","pendlebury",4
"5828","pense",4
"5829","peoples",4
"5830","perkins",4
"5831","permitted",4
"5832","persecute",4
"5833","personnel",4
"5834","perverted",4
"5835","peyton",4
"5836","phoney",4
"5837","physically",4
"5838","pile",4
"5839","pink",4
"5840","pioneer",4
"5841","pissed",4
"5842","plastic",4
"5843","platitudes",4
"5844","player",4
"5845","ploy",4
"5846","plug",4
"5847","pluralism",4
"5848","poisoning",4
"5849","pollsters",4
"5850","pols",4
"5851","populist",4
"5852","portrayal",4
"5853","portrayals",4
"5854","portugal",4
"5855","possession",4
"5856","potter",4
"5857","powers",4
"5858","predict",4
"5859","premise",4
"5860","premium",4
"5861","preparation",4
"5862","prepared",4
"5863","prerequisite",4
"5864","presbyterians",4
"5865","preschool",4
"5866","preserve",4
"5867","pretends",4
"5868","principal",4
"5869","principals",4
"5870","prize",4
"5871","procreation",4
"5872","profs",4
"5873","prog",4
"5874","progressivism",4
"5875","promotion",4
"5876","pronounce",4
"5877","pronounced",4
"5878","prophesy",4
"5879","prospects",4
"5880","prostitute",4
"5881","proverbs",4
"5882","provided",4
"5883","proxy",4
"5884","psalm",4
"5885","psycho",4
"5886","psychologist",4
"5887","pts",4
"5888","publishers",4
"5889","puerto",4
"5890","pundit",4
"5891","purely",4
"5892","puritan",4
"5893","puritanical",4
"5894","quaker",4
"5895","quarters",4
"5896","quickly",4
"5897","quiz",4
"5898","rabbit",4
"5899","rain",4
"5900","random",4
"5901","randos",4
"5902","rant",4
"5903","rap",4
"5904","raping",4
"5905","raving",4
"5906","ray",4
"5907","reached",4
"5908","readers",4
"5909","realised",4
"5910","realities",4
"5911","reap",4
"5912","rebel",4
"5913","rebuke",4
"5914","recite",4
"5915","recruit",4
"5916","redeemer",4
"5917","redemption",4
"5918","redundant",4
"5919","register",4
"5920","rejection",4
"5921","relativism",4
"5922","remarks",4
"5923","reminded",4
"5924","removes",4
"5925","removing",4
"5926","repeal",4
"5927","repented",4
"5928","reporter",4
"5929","repressed",4
"5930","resembles",4
"5931","residents",4
"5932","resign",4
"5933","resurrection",4
"5934","retarded",4
"5935","retiring",4
"5936","retweet",4
"5937","retweeting",4
"5938","revenue",4
"5939","revisionism",4
"5940","rewrite",4
"5941","richer",4
"5942","rio#39",4
"5943","rn",4
"5944","rnc",4
"5945","rns",4
"5946","robust",4
"5947","rocha",4
"5948","romans",4
"5949","romulo",4
"5950","ron",4
"5951","root",4
"5952","ruin",4
"5953","ruling",4
"5954","rumors",4
"5955","rust",4
"5956","rwnjs",4
"5957","sacraments",4
"5958","salute",4
"5959","sane",4
"5960","santa",4
"5961","satanist",4
"5962","sausage",4
"5963","scenester",4
"5964","schooled",4
"5965","scion",4
"5966","scream",4
"5967","scumbag",4
"5968","seats",4
"5969","secondary",4
"5970","secularism",4
"5971","seeks",4
"5972","seemingly",4
"5973","segregated",4
"5974","senators",4
"5975","servant",4
"5976","servic",4
"5977","settings",4
"5978","severely",4
"5979","shadow",4
"5980","shake",4
"5981","shariah",4
"5982","sheep's",4
"5983","sheriff",4
"5984","shifts",4
"5985","shiite",4
"5986","ship's",4
"5987","sho",4
"5988","shopping",4
"5989","shoutout",4
"5990","shower",4
"5991","sicko",4
"5992","sigh",4
"5993","sight",4
"5994","signing",4
"5995","singer",4
"5996","size",4
"5997","skewed",4
"5998","slime",4
"5999","slippery",4
"6000","slogan",4
"6001","slower",4
"6002","slumlord",4
"6003","slut",4
"6004","smarter",4
"6005","smdh",4
"6006","smith's",4
"6007","sociopathic",4
"6008","software",4
"6009","sojourners",4
"6010","solidly",4
"6011","son's",4
"6012","sonia",4
"6013","sought",4
"6014","sounded",4
"6015","sounding",4
"6016","sources",4
"6017","southerners",4
"6018","spade",4
"6019","sparking",4
"6020","sparks",4
"6021","speakers",4
"6022","species",4
"6023","spends",4
"6024","spin",4
"6025","spineless",4
"6026","spoiler",4
"6027","sponsor",4
"6028","spouse",4
"6029","spouses",4
"6030","spouting",4
"6031","stages",4
"6032","standup",4
"6033","starving",4
"6034","staying",4
"6035","steeped",4
"6036","steer",4
"6037","stem",4
"6038","steps",4
"6039","stock",4
"6040","stole",4
"6041","strain",4
"6042","streets",4
"6043","strength",4
"6044","strongest",4
"6045","studio",4
"6046","stumbled",4
"6047","subversive",4
"6048","succeed",4
"6049","suez",4
"6050","suffered",4
"6051","sufficient",4
"6052","suffocating",4
"6053","superb",4
"6054","suppositions",4
"6055","surge",4
"6056","suspicion",4
"6057","swedish",4
"6058","switch",4
"6059","synonymous",4
"6060","syrian",4
"6061","systemic",4
"6062","tables",4
"6063","takeover",4
"6064","tank",4
"6065","taste",4
"6066","tebow",4
"6067","tech",4
"6068","technology",4
"6069","teenage",4
"6070","tees",4
"6071","televangelists",4
"6072","televised",4
"6073","tempted",4
"6074","tenant",4
"6075","tenet",4
"6076","terf",4
"6077","terfs",4
"6078","terminology",4
"6079","terrace",4
"6080","terribly",4
"6081","testing",4
"6082","textbook",4
"6083","tfw",4
"6084","thanked",4
"6085","theists",4
"6086","theocrats",4
"6087","thinker",4
"6088","thousand",4
"6089","thrilled",4
"6090","thriller",4
"6091","thrive",4
"6092","tht",4
"6093","timely",4
"6094","tiny",4
"6095","tips",4
"6096","token",4
"6097","tract",4
"6098","trademark",4
"6099","trademarks",4
"6100","traits",4
"6101","transform",4
"6102","transformation",4
"6103","trap",4
"6104","trashing",4
"6105","traveling",4
"6106","travels",4
"6107","treason",4
"6108","trending",4
"6109","trigger",4
"6110","trueman",4
"6111","trumpian",4
"6112","turd",4
"6113","twenty",4
"6114","ubugingo",4
"6115","ucnn",4
"6116","uem",4
"6117","ukuri",4
"6118","ulster",4
"6119","understandings",4
"6120","unfair",4
"6121","unfortunate",4
"6122","unhappy",4
"6123","unholy",4
"6124","uniform",4
"6125","uninformed",4
"6126","unionism",4
"6127","univ",4
"6128","unmarried",4
"6129","unofficial",4
"6130","unpack",4
"6131","unusual",4
"6132","unwilling",4
